Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,240 ",250 ,494 ,471 ,25 ,"52,822 ","26,232 ","22,349 ","4,239 ",2 ,"42,567 ","19,191 ","20,022 ","3,354 ",0 ,"9,300 ","6,567 ","1,987 ",746 ,0 ,562 ,319 ,198 ,45 ,0 ,393 ,155 ,142 ,94 ,2 ,"1,706 ",826 ,442 ,393 ,45 ,731 ,240 ,237 ,220 ,34 ,975 ,586 ,205 ,173 ,11 ,"13,006 ","8,246 ","3,332 ","1,401 ",27 ,"10,967 ","7,265 ","2,694 ","1,008 ",0 ,"1,838 ",930 ,597 ,311 ,0 ,201 ,51 ,41 ,82 ,27 ,96 ,27 ,15 ,24 ,30 ,"394,869 ","228,905 ","101,497 ","52,715 ","11,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"2,254 ",776 ,748 ,694 ,36 ,"78,460 ","44,829 ","25,639 ","7,990 ",2 ,"63,847 ","35,003 ","22,689 ","6,154 ",1 ,"12,650 ","8,905 ","2,357 ","1,388 ",0 ,"1,138 ",629 ,343 ,166 ,0 ,825 ,292 ,250 ,282 ,1 ,"2,584 ","1,161 ",650 ,725 ,48 ,"1,152 ",421 ,316 ,378 ,37 ,"1,432 ",740 ,334 ,347 ,11 ,"16,196 ","9,477 ","4,234 ","2,467 ",18 ,"13,170 ","8,131 ","3,274 ","1,765 ",0 ,"2,745 ","1,264 ",901 ,580 ,0 ,281 ,82 ,59 ,122 ,18 ,150 ,54 ,17 ,36 ,43 ,"456,614 ","241,866 ","126,246 ","80,759 ","7,743 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,154 ",316 ,368 ,439 ,31 ,"55,193 ","34,900 ","14,696 ","5,595 ",2 ,"45,911 ","28,477 ","13,186 ","4,248 ",0 ,"8,253 ","5,820 ","1,271 ","1,161 ",1 ,710 ,490 ,132 ,88 ,0 ,319 ,113 ,107 ,98 ,1 ,"1,625 ",858 ,245 ,483 ,39 ,733 ,334 ,98 ,275 ,26 ,892 ,524 ,147 ,208 ,13 ,"14,949 ","10,466 ","2,402 ","2,062 ",19 ,"11,959 ","8,648 ","1,826 ","1,485 ",0 ,"2,800 ","1,743 ",543 ,514 ,0 ,190 ,75 ,33 ,63 ,19 ,89 ,41 ,17 ,15 ,16 ,"354,054 ","194,739 ","84,866 ","67,372 ","7,077 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,403 ",354 ,516 ,502 ,31 ,"54,635 ","30,695 ","19,253 ","4,685 ",2 ,"46,380 ","25,225 ","17,572 ","3,583 ",0 ,"7,499 ","5,092 ","1,445 ",961 ,1 ,442 ,243 ,134 ,65 ,0 ,314 ,135 ,102 ,76 ,1 ,"1,634 ",862 ,410 ,330 ,32 ,644 ,251 ,216 ,157 ,20 ,990 ,611 ,194 ,173 ,12 ,"15,185 ","10,341 ","3,357 ","1,446 ",41 ,"12,420 ","8,777 ","2,612 ","1,031 ",0 ,"2,462 ","1,466 ",692 ,304 ,0 ,303 ,98 ,53 ,111 ,41 ,65 ,36 ,13 ,13 ,3 ,"288,562 ","151,597 ","88,255 ","39,467 ","9,243 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,435 ",424 ,534 ,424 ,53 ,"69,356 ","43,763 ","21,424 ","4,165 ",4 ,"59,716 ","36,899 ","19,559 ","3,256 ",2 ,"8,632 ","6,329 ","1,546 ",756 ,1 ,714 ,404 ,212 ,98 ,0 ,294 ,131 ,107 ,55 ,1 ,"1,863 ",962 ,391 ,455 ,55 ,896 ,426 ,198 ,250 ,22 ,967 ,536 ,193 ,205 ,33 ,"17,216 ","12,270 ","3,524 ","1,304 ",118 ,"14,467 ","10,778 ","2,782 ",907 ,0 ,"2,301 ","1,325 ",720 ,256 ,0 ,448 ,167 ,22 ,141 ,118 ,124 ,59 ,21 ,22 ,22 ,"352,431 ","206,149 ","95,810 ","36,091 ","14,381 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,580 ",536 ,467 ,535 ,42 ,"74,846 ","46,813 ","20,976 ","7,056 ",1 ,"61,258 ","36,656 ","19,033 ","5,569 ",0 ,"11,919 ","9,113 ","1,622 ","1,184 ",0 ,"1,175 ",859 ,205 ,111 ,0 ,494 ,185 ,116 ,192 ,1 ,"2,128 ","1,216 ",387 ,466 ,59 ,"1,017 ",550 ,194 ,243 ,30 ,"1,111 ",666 ,193 ,223 ,29 ,"21,054 ","15,408 ","3,654 ","1,919 ",73 ,"18,013 ","13,675 ","2,925 ","1,413 ",0 ,"2,741 ","1,618 ",690 ,433 ,0 ,300 ,115 ,39 ,73 ,73 ,142 ,64 ,18 ,31 ,29 ,"515,692 ","340,213 ","102,898 ","51,703 ","20,878 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,580 ",489 ,413 ,654 ,24 ,"69,798 ","37,553 ","20,565 ","11,672 ",8 ,"55,789 ","28,036 ","18,885 ","8,867 ",1 ,"12,661 ","8,788 ","1,393 ","2,480 ",0 ,910 ,576 ,193 ,141 ,0 ,438 ,153 ,94 ,184 ,7 ,"1,961 ",803 ,375 ,615 ,168 ,975 ,321 ,205 ,311 ,138 ,986 ,482 ,170 ,304 ,30 ,"17,964 ","11,689 ","3,146 ","3,095 ",34 ,"14,944 ","10,266 ","2,465 ","2,213 ",0 ,"2,739 ","1,325 ",636 ,778 ,0 ,281 ,98 ,45 ,104 ,34 ,154 ,68 ,21 ,40 ,25 ,"550,380 ","358,013 ","91,490 ","82,170 ","18,707 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,801 ",666 ,716 ,"1,396 ",23 ,"65,303 ","31,562 ","26,647 ","7,087 ",7 ,"53,957 ","24,562 ","24,007 ","5,388 ",0 ,"9,797 ","6,124 ","2,216 ","1,457 ",0 ,"1,103 ",719 ,269 ,115 ,0 ,446 ,157 ,155 ,127 ,7 ,"2,200 ",981 ,534 ,629 ,56 ,"1,022 ",456 ,279 ,263 ,24 ,"1,178 ",525 ,255 ,366 ,32 ,"21,843 ","15,814 ","4,163 ","1,844 ",22 ,"18,008 ","13,446 ","3,210 ","1,352 ",0 ,"3,532 ","2,279 ",879 ,374 ,0 ,303 ,89 ,74 ,118 ,22 ,142 ,67 ,25 ,42 ,8 ,"457,574 ","253,197 ","119,356 ","74,874 ","10,147 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,716 ",470 ,726 ,500 ,20 ,"80,223 ","44,638 ","29,485 ","6,078 ",22 ,"66,512 ","35,515 ","26,191 ","4,806 ",0 ,"11,528 ","7,835 ","2,686 ","1,007 ",0 ,"1,493 ",983 ,397 ,113 ,0 ,690 ,305 ,211 ,152 ,22 ,"3,015 ","1,580 ",800 ,589 ,46 ,"1,432 ",715 ,398 ,284 ,35 ,"1,583 ",865 ,402 ,305 ,11 ,"17,245 ","11,145 ","4,449 ","1,633 ",18 ,"14,266 ","9,695 ","3,419 ","1,152 ",0 ,"2,692 ","1,344 ",956 ,392 ,0 ,287 ,106 ,74 ,89 ,18 ,143 ,76 ,39 ,18 ,10 ,"527,859 ","310,992 ","142,918 ","66,137 ","7,812 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,505 ",427 ,610 ,436 ,32 ,"68,569 ","35,238 ","27,923 ","5,402 ",6 ,"56,670 ","27,580 ","24,781 ","4,309 ",0 ,"10,368 ","6,812 ","2,667 ",889 ,0 ,"1,107 ",678 ,338 ,91 ,0 ,424 ,168 ,137 ,113 ,6 ,"2,050 ",915 ,682 ,396 ,57 ,915 ,360 ,345 ,178 ,32 ,"1,135 ",555 ,337 ,218 ,25 ,"14,490 ","8,755 ","4,195 ","1,534 ",6 ,"12,120 ","7,634 ","3,319 ","1,167 ",0 ,"2,173 ","1,045 ",818 ,310 ,0 ,197 ,76 ,58 ,57 ,6 ,83 ,29 ,24 ,20 ,10 ,"444,435 ","247,764 ","137,000 ","51,243 ","8,428 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,009 ",344 ,334 ,298 ,33 ,"65,628 ","41,924 ","18,674 ","5,029 ",1 ,"52,449 ","31,518 ","16,977 ","3,954 ",0 ,"11,871 ","9,474 ","1,437 ",960 ,0 ,982 ,727 ,187 ,68 ,0 ,326 ,205 ,73 ,47 ,1 ,"3,122 ","2,442 ",307 ,299 ,74 ,"1,039 ",695 ,142 ,166 ,36 ,"2,083 ","1,747 ",165 ,133 ,38 ,"19,153 ","15,407 ","2,548 ","1,179 ",19 ,"16,395 ","13,566 ","1,934 ",895 ,0 ,"2,527 ","1,727 ",568 ,232 ,0 ,231 ,114 ,46 ,52 ,19 ,81 ,36 ,20 ,14 ,11 ,"418,408 ","265,296 ","96,615 ","43,915 ","12,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004　Jan．,"1,416 ",333 ,386 ,666 ,31 ,"67,397 ","34,271 ","19,787 ","13,338 ",1 ,"52,463 ","24,658 ","18,004 ","9,801 ",0 ,"13,605 ","8,972 ","1,477 ","3,156 ",0 ,972 ,524 ,224 ,224 ,0 ,357 ,117 ,82 ,157 ,1 ,"1,868 ",890 ,293 ,639 ,46 ,872 ,416 ,158 ,281 ,17 ,996 ,474 ,135 ,358 ,29 ,"20,355 ","13,893 ","2,547 ","3,901 ",14 ,"17,096 ","12,286 ","1,966 ","2,844 ",0 ,"3,030 ","1,546 ",552 ,932 ,0 ,229 ,61 ,29 ,125 ,14 ,92 ,22 ,16 ,50 ,4 ,"538,334 ","343,533 ","89,399 ","92,289 ","13,113 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,289 ",326 ,487 ,450 ,26 ,"57,529 ","28,508 ","24,696 ","4,323 ",2 ,"47,464 ","21,929 ","22,168 ","3,367 ",0 ,"8,867 ","5,975 ","2,106 ",786 ,0 ,864 ,481 ,311 ,72 ,0 ,334 ,123 ,111 ,98 ,2 ,"1,599 ",713 ,429 ,407 ,50 ,727 ,264 ,224 ,221 ,18 ,872 ,449 ,205 ,186 ,32 ,"12,725 ","7,736 ","3,564 ","1,402 ",23 ,"10,610 ","6,765 ","2,816 ","1,029 ",0 ,"1,931 ",921 ,710 ,300 ,0 ,184 ,50 ,38 ,73 ,23 ,63 ,30 ,11 ,15 ,7 ,"417,519 ","242,463 ","112,305 ","52,564 ","10,187 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,593 ",458 ,600 ,501 ,34 ,"82,789 ","49,489 ","25,306 ","7,992 ",2 ,"68,709 ","39,593 ","22,770 ","6,346 ",0 ,"12,250 ","8,853 ","2,045 ","1,352 ",0 ,"1,391 ",873 ,339 ,179 ,0 ,439 ,170 ,152 ,115 ,2 ,"2,109 ",838 ,570 ,658 ,43 ,999 ,359 ,284 ,337 ,19 ,"1,110 ",479 ,286 ,321 ,24 ,"16,695 ","10,567 ","3,807 ","2,314 ",7 ,"13,922 ","9,266 ","2,973 ","1,683 ",0 ,"2,592 ","1,242 ",793 ,557 ,0 ,181 ,59 ,41 ,74 ,7 ,68 ,25 ,17 ,21 ,5 ,"488,778 ","281,643 ","121,741 ","78,767 ","6,627 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,423 ",379 ,542 ,480 ,22 ,"80,571 ","52,001 ","22,020 ","6,542 ",8 ,"66,743 ","41,793 ","19,942 ","5,006 ",2 ,"12,154 ","9,087 ","1,737 ","1,329 ",1 ,"1,213 ",907 ,208 ,98 ,0 ,461 ,214 ,133 ,109 ,5 ,"2,338 ","1,302 ",456 ,520 ,60 ,"1,239 ",665 ,254 ,297 ,23 ,"1,099 ",637 ,202 ,223 ,37 ,"21,500 ","16,322 ","2,872 ","2,276 ",30 ,"17,793 ","13,985 ","2,205 ","1,602 ",1 ,"3,444 ","2,243 ",627 ,574 ,0 ,263 ,94 ,40 ,100 ,29 ,79 ,42 ,16 ,17 ,4 ,"546,662 ","359,573 ","113,579 ","67,101 ","6,409 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,799 ",634 ,640 ,507 ,18 ,"85,307 ","53,208 ","25,329 ","6,759 ",11 ,"71,316 ","43,616 ","22,607 ","5,092 ",1 ,"11,918 ","8,332 ","2,163 ","1,423 ",0 ,"1,588 ","1,038 ",419 ,130 ,1 ,485 ,222 ,140 ,114 ,9 ,"2,433 ","1,287 ",658 ,449 ,39 ,"1,219 ",610 ,378 ,211 ,20 ,"1,214 ",677 ,280 ,238 ,19 ,"18,809 ","12,986 ","3,891 ","1,912 ",20 ,"15,764 ","11,412 ","3,024 ","1,328 ",0 ,"2,705 ","1,476 ",809 ,420 ,0 ,340 ,98 ,58 ,164 ,20 ,58 ,21 ,17 ,15 ,5 ,"500,830 ","310,428 ","122,841 ","58,377 ","9,184 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,551 ",341 ,644 ,530 ,36 ,"90,161 ","61,811 ","23,526 ","4,817 ",7 ,"77,741 ","52,921 ","21,106 ","3,714 ",0 ,"10,517 ","7,754 ","1,894 ",869 ,0 ,"1,420 ",952 ,359 ,107 ,2 ,483 ,184 ,167 ,127 ,5 ,"2,147 ","1,092 ",557 ,409 ,89 ,989 ,461 ,298 ,174 ,56 ,"1,158 ",631 ,259 ,235 ,33 ,"18,977 ","14,202 ","3,370 ","1,365 ",40 ,"15,928 ","12,181 ","2,719 ","1,028 ",0 ,"2,707 ","1,842 ",607 ,258 ,0 ,342 ,179 ,44 ,79 ,40 ,82 ,35 ,20 ,20 ,7 ,"505,003 ","327,006 ","119,108 ","45,048 ","13,841 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,745 ",617 ,592 ,491 ,45 ,"87,779 ","60,597 ","20,176 ","6,998 ",8 ,"71,242 ","47,686 ","18,078 ","5,477 ",1 ,"13,527 ","10,615 ","1,623 ","1,289 ",0 ,"2,472 ","2,051 ",326 ,95 ,0 ,538 ,245 ,149 ,137 ,7 ,"2,488 ","1,516 ",389 ,485 ,98 ,"1,253 ",728 ,201 ,264 ,60 ,"1,235 ",788 ,188 ,221 ,38 ,"21,999 ","16,845 ","3,295 ","1,845 ",14 ,"18,402 ","14,440 ","2,596 ","1,366 ",0 ,"3,298 ","2,245 ",651 ,402 ,0 ,299 ,160 ,48 ,77 ,14 ,55 ,26 ,10 ,10 ,9 ,"610,190 ","427,874 ","109,034 ","55,563 ","17,719 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,644 ",390 ,491 ,716 ,47 ,"73,314 ","42,201 ","19,044 ","12,066 ",3 ,"59,012 ","32,452 ","17,273 ","9,287 ",0 ,"12,721 ","8,881 ","1,394 ","2,446 ",0 ,"1,091 ",697 ,282 ,112 ,0 ,490 ,171 ,95 ,221 ,3 ,"2,276 ","1,151 ",430 ,621 ,74 ,"1,144 ",565 ,242 ,299 ,38 ,"1,132 ",586 ,188 ,322 ,36 ,"18,904 ","12,731 ","3,181 ","2,977 ",15 ,"15,446 ","10,851 ","2,481 ","2,114 ",0 ,"3,248 ","1,820 ",683 ,745 ,0 ,210 ,60 ,17 ,118 ,15 ,81 ,39 ,14 ,22 ,6 ,"567,869 ","367,292 ","95,727 ","89,286 ","15,564 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,067 ",649 ,669 ,725 ,24 ,"68,467 ","38,137 ","22,722 ","7,605 ",3 ,"56,466 ","30,348 ","20,400 ","5,718 ",0 ,"9,985 ","6,583 ","1,855 ","1,546 ",1 ,"1,433 ","1,002 ",283 ,148 ,0 ,583 ,204 ,184 ,193 ,2 ,"2,559 ","1,308 ",594 ,604 ,53 ,"1,193 ",590 ,313 ,255 ,35 ,"1,366 ",718 ,281 ,349 ,18 ,"24,937 ","19,031 ","3,966 ","1,921 ",19 ,"20,966 ","16,351 ","3,141 ","1,474 ",0 ,"3,705 ","2,586 ",765 ,354 ,0 ,266 ,94 ,60 ,93 ,19 ,63 ,23 ,14 ,20 ,6 ,"481,570 ","277,151 ","116,263 ","78,988 ","9,168 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,971 ",424 ,780 ,733 ,34 ,"86,650 ","52,332 ","28,413 ","5,902 ",3 ,"71,190 ","41,678 ","24,932 ","4,580 ",0 ,"13,060 ","9,099 ","2,848 ","1,113 ",0 ,"1,850 ","1,324 ",430 ,96 ,0 ,550 ,231 ,203 ,113 ,3 ,"3,046 ","1,558 ",850 ,562 ,76 ,"1,479 ",735 ,437 ,263 ,44 ,"1,567 ",823 ,413 ,299 ,32 ,"19,577 ","13,698 ","4,173 ","1,651 ",55 ,"16,515 ","11,986 ","3,248 ","1,276 ",5 ,"2,790 ","1,633 ",865 ,292 ,0 ,272 ,79 ,60 ,83 ,50 ,63 ,28 ,16 ,10 ,9 ,"539,353 ","322,783 ","142,574 ","65,587 ","8,409 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,688 ",454 ,697 ,499 ,38 ,"74,229 ","41,157 ","27,716 ","5,353 ",3 ,"61,772 ","32,768 ","24,726 ","4,278 ",0 ,"10,864 ","7,506 ","2,494 ",864 ,0 ,"1,113 ",713 ,314 ,86 ,0 ,480 ,170 ,182 ,125 ,3 ,"2,017 ",920 ,651 ,395 ,51 ,863 ,352 ,334 ,157 ,20 ,"1,154 ",568 ,317 ,238 ,31 ,"16,296 ","10,449 ","4,322 ","1,509 ",16 ,"13,608 ","9,066 ","3,408 ","1,134 ",0 ,"2,494 ","1,332 ",852 ,310 ,0 ,194 ,51 ,62 ,65 ,16 ,54 ,18 ,15 ,18 ,3 ,"486,403 ","280,670 ","144,456 ","52,492 ","8,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,334 ",414 ,468 ,435 ,17 ,"69,643 ","47,837 ","16,804 ","5,001 ",1 ,"55,635 ","36,398 ","15,270 ","3,967 ",0 ,"12,623 ","10,401 ","1,293 ",929 ,0 ,"1,082 ",876 ,153 ,53 ,0 ,303 ,162 ,88 ,52 ,1 ,"2,358 ","1,587 ",392 ,335 ,44 ,"1,084 ",676 ,213 ,169 ,26 ,"1,274 ",911 ,179 ,166 ,18 ,"21,103 ","17,493 ","2,322 ","1,275 ",13 ,"18,226 ","15,399 ","1,837 ",989 ,1 ,"2,735 ","2,037 ",461 ,237 ,0 ,142 ,57 ,24 ,49 ,12 ,56 ,30 ,10 ,8 ,8 ,"455,394 ","299,245 ","96,090 ","46,624 ","13,435 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005　Jan．,"1,622 ",297 ,513 ,778 ,34 ,"72,345 ","32,399 ","23,689 ","16,251 ",6 ,"57,704 ","24,293 ","21,302 ","12,108 ",1 ,"13,091 ","7,340 ","2,000 ","3,750 ",1 ,998 ,584 ,237 ,176 ,1 ,552 ,182 ,150 ,217 ,3 ,"2,013 ",842 ,429 ,674 ,68 ,931 ,362 ,232 ,288 ,49 ,"1,082 ",480 ,197 ,386 ,19 ,"23,176 ","15,878 ","2,857 ","4,425 ",16 ,"19,860 ","14,323 ","2,240 ","3,297 ",0 ,"3,075 ","1,496 ",571 ,"1,008 ",0 ,241 ,59 ,46 ,120 ,16 ,63 ,12 ,9 ,22 ,20 ,"516,280 ","292,004 ","113,049 ","96,800 ","14,427 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,534 ",447 ,490 ,570 ,27 ,"66,199 ","35,849 ","23,188 ","7,154 ",8 ,"53,128 ","26,256 ","21,007 ","5,864 ",1 ,"11,777 ","8,839 ","1,777 ","1,161 ",0 ,835 ,483 ,293 ,59 ,0 ,459 ,271 ,111 ,70 ,7 ,"1,872 ",886 ,414 ,526 ,46 ,905 ,299 ,212 ,369 ,25 ,967 ,587 ,202 ,157 ,21 ,"17,423 ","12,430 ","3,304 ","1,673 ",16 ,"15,031 ","11,136 ","2,592 ","1,303 ",0 ,"2,151 ","1,227 ",636 ,288 ,0 ,241 ,67 ,76 ,82 ,16 ,95 ,43 ,17 ,17 ,18 ,"519,460 ","343,172 ","106,378 ","56,993 ","12,917 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"2,230 ",507 ,694 ,"1,000 ",29 ,"98,263 ","61,618 ","26,980 ","9,662 ",3 ,"80,916 ","49,033 ","24,120 ","7,763 ",0 ,"14,637 ","10,833 ","2,209 ","1,595 ",0 ,"2,147 ","1,503 ",466 ,178 ,0 ,563 ,249 ,185 ,126 ,3 ,"2,769 ","1,175 ",675 ,839 ,80 ,"1,300 ",489 ,347 ,425 ,39 ,"1,469 ",686 ,328 ,414 ,41 ,"19,732 ","13,563 ","3,709 ","2,441 ",19 ,"16,646 ","11,898 ","2,945 ","1,802 ",1 ,"2,806 ","1,560 ",705 ,540 ,1 ,280 ,105 ,59 ,99 ,17 ,100 ,30 ,25 ,40 ,5 ,"557,640 ","339,690 ","131,291 ","82,872 ","3,787 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"2,012 ",623 ,641 ,701 ,47 ,"91,952 ","58,214 ","25,550 ","8,181 ",7 ,"76,971 ","47,527 ","23,033 ","6,410 ",1 ,"12,874 ","9,382 ","1,978 ","1,514 ",0 ,"1,273 ",911 ,249 ,113 ,0 ,834 ,394 ,290 ,144 ,6 ,"3,620 ","1,975 ",877 ,704 ,64 ,"1,640 ",874 ,380 ,361 ,25 ,"1,980 ","1,101 ",497 ,343 ,39 ,"21,699 ","15,770 ","3,549 ","2,363 ",17 ,"17,898 ","13,369 ","2,827 ","1,702 ",0 ,"3,532 ","2,294 ",667 ,571 ,0 ,269 ,107 ,55 ,90 ,17 ,99 ,50 ,17 ,24 ,8 ,"584,406 ","378,597 ","128,308 ","72,999 ","4,502 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,890 ",449 ,679 ,747 ,15 ,"86,804 ","54,381 ","25,268 ","7,143 ",12 ,"73,094 ","45,110 ","22,496 ","5,487 ",1 ,"11,593 ","7,895 ","2,260 ","1,438 ",0 ,"1,511 ","1,088 ",329 ,93 ,1 ,606 ,288 ,183 ,125 ,10 ,"3,310 ","1,781 ",797 ,663 ,69 ,"1,711 ",796 ,433 ,444 ,38 ,"1,599 ",985 ,364 ,219 ,31 ,"18,137 ","12,073 ","3,949 ","2,104 ",11 ,"15,027 ","10,510 ","3,044 ","1,473 ",0 ,"2,773 ","1,494 ",855 ,424 ,0 ,337 ,69 ,50 ,207 ,11 ,81 ,29 ,22 ,26 ,4 ,"530,752 ","331,430 ","129,262 ","65,668 ","4,392 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"2,067 ",557 ,632 ,843 ,35 ,"93,934 ","65,160 ","23,943 ","4,827 ",4 ,"81,686 ","56,465 ","21,561 ","3,658 ",2 ,"10,101 ","7,284 ","1,865 ",952 ,0 ,"1,627 ","1,157 ",345 ,125 ,0 ,520 ,254 ,172 ,92 ,2 ,"2,528 ","1,439 ",531 ,509 ,49 ,"1,220 ",709 ,252 ,233 ,26 ,"1,308 ",730 ,279 ,276 ,23 ,"21,448 ","16,509 ","3,526 ","1,379 ",34 ,"18,463 ","14,733 ","2,765 ",965 ,0 ,"2,664 ","1,631 ",698 ,335 ,0 ,321 ,145 ,63 ,79 ,34 ,79 ,34 ,10 ,21 ,14 ,"551,134 ","374,180 ","121,767 ","49,424 ","5,763 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
