Name,Type,Aired,Rating,Votes,Discription,Studio,Genre
Kore Wa Zombie Desu Ka?,TV Series,2011-2012,6.9,1900,"Ayumu has no pulse and very little luck. Instead of dying (again), Ayumu became the world's first magical girl zombie.","Kadokawa Pictures, Kadokawa Shoten Publishing Co., Studio DEEN",
A Lull in the Sea,TV Series,2013-2014,7.4,1400,"Long ago, humanity lived in the sea, but some humans longed to go to land and eventually left the sea behind. Now in present day, the two human types co-exist though their thinking has becom... Read all","Geneon Universal Entertainment, Infinite, P.A. Works",
Tsubasa kuronikuru,TV Series,2005-2010,7.2,1400,"Syaoran, a boy who wants to become an archeologist, and Sakura, a princess from the Clow Kingdom, are childhood friends with a close relationship. On a fateful night, Sakura lost all her mem... Read all","Bee Train, Clamp, Kôdansha",
Sakamichi no Apollon,TV Mini Series,2012-2012,8.2,3300,Two different students - a successful but aloof academic and a rebellious but kindhearted delinquent - form a friendship through their love for music.,"Dentsu, Fuji Television Network, Mappa",
Eden of the East,TV Series,2009-2009,7.5,4000,"On November 22, 2010 ten missiles strike Japan. However, this unprecedented terrorist act, later to be called as ""Careless Monday,"" does not result in any apparent victims, and is soon forgo... Read all","Asmik Ace Entertainment, Dentsu, Fuji Television Network",
Kôkyô shihen Eureka Sebun,TV Series,2005-2006,7.8,3300,"14-year-old Renton joins the rebel GekkoState ship, co-pilots the TypeZero with the mysterious Eureka, and unknowingly becomes part of a grand scheme.","Bones, Project Eureka",
Ichiban Ushiro No Daimaou,TV Mini Series,2010-2010,6.6,2700,"One of the most promising students of the Wizard academy takes a career assessment test and the results say that he'll become a demon king. The students treat him differently after this, but... Read all","AT-X, Artland, Genco",
Sakurasou No Pet Na Kanojo,TV Series,2012-2013,7.7,5100,"Revolving around the hardships and joys of colorful cast, it is a heartwarming coming-of-age tale of friendship, love, ambition, and heartbreak - through the lens of an ordinary person surro... Read all","ASCII Mediaworks, Frontier Works, Genco",
Uchû kaizoku kyaputen Hârokku,TV Series,1978-1979,7.8,1300,"In 2977, mankind has space colonies, machines do all the work and everyone just wants to have fun. When deadly plant-based aliens that look like women attack the Earth in order to colonize i... Read all","TV Asahi, Toei Animation, Toei Animation",
Blood Lad,TV Mini Series,2013-2013,7,2400,"A vampire punk falls in love with a kind human girl, and when she is killed and turned into a ghost, he sets out on a quest to resurrect her.","Brains Base, D.N. Dream Partners, Docomo Anime Store",
Haibane Renmei,TV Mini Series,2002-2002,8,4100,"A young girl is reborn as an angel-like creature called a haibane, with no memory of who she once was.",Radix,
Corpse Party: Tortured Souls,TV Mini Series,2013-2013,6.3,2300,"After performing a charm that would supposedly unite them as friends, a group of students are teleported to the mysterious Heavenly Host Elementary School where they are visited by the spiri... Read all",,
Kureyon Shin-chan,TV Series,2006-2011,8,6000,English language adult parody based on the Japanese series Shinchan (1992). This entry is for the Funimation English dub which originally aired on CN's Adult Swim between 2006 and 2011.,"FUNimation Entertainment, Shin Ei Animation, TV Asahi",
Toriko,TV Series,2009-2014,7.2,614,A master chef travels the world in search of ingredients to make fantastic dishes.,Toei Company,
Shingeki no Bahamut: Genesis,TV Mini Series,2014-2014,7.3,1700,"The story first starts off around Favaro Leone who is a bounty hunter, collecting money off of bounties he collects (demons). Favaro Leone soon runs into Amira who has no clue what is really... Read all",Mappa,
Ghost Hunt,TV Series,2006-2007,7.4,1600,Shibuya Psychic Research Center investigates supernatural occurrences all over Japan.,J.C. Staff,
Trinity Blood,TV Series,2005-2005,7.1,2900,In a futuristic world of an unsteady truce between humans and vampires a superhuman priest battles to secure a peaceful co-existence.,"Gonzo, Trinity Blood Partners",
Seikon No Qwaser,TV Series,2010-2011,5.4,470,"When tomo and her adopted sister Mafuyu Oribe rescue a strange wounded man, they have no idea what they're getting involved with or what the consequences will be. Alexander Nikolaevith Hell ... Read all","Flying Dog, Hoods Entertainment, Lantis",
Beelzebub,TV Series,2011-2012,7.5,2300,"The story follows the strongest juvenile delinquent, Oga Tatsumi, he is a first year in Ishiyama High, the school for delinquents.","Dentsu, Pierrot, Shueisha",
Fushigi Yûgi,TV Series,1995-2002,7.8,1100,A girl named Miaka Yuuki and her friend Yui Hongo are taken into the book called The Universe of the Four Gods. There they battle many hardships including each other in order to become the p... Read all,"Pierrot, TV Tokyo, Yomiko Advertising",
Shuffle!,TV Series,2005-2006,6.8,850,Rin is a seemingly normal young man in school. Orphaned as a young boy he has since lived with his childhood friend Kaede who lost her mother in the same accident that he lost both of his pa... Read all,"Asread, Shuffle! Media Partners",
Uchû senkan Yamato,TV Series,1974-1975,8.1,692,"In the year 2199, the space battleship Yamato embarks on a voyage to the planet Iscandar, to retrieve a device that will rejuvenate a war-ravaged Earth.",Office Academy,
Jigoku shôjo,TV Series,2005-2006,7.4,2000,"When someone wants revenge, they post about it on a special website at midnight. Then Hell Girl appears to do their bidding.","Aniplex, Jigoku Shôjo Project, Mainichi Broadcasting System (MBS)",
Gosick,TV Mini Series,2011-2011,7.3,1500,"Gosick is set in the fictional European country of Sauville in the 1920s. Kazuya Kujo is a transfer student to St. Marguerite Academy, a place where myths and superstitions are abundant. Whi... Read all","Bones, Kadokawa Shoten Publishing Co., Memory Tech",
School Rumble,TV Series,2004-2010,7.8,2200,A young high schooler is in love with an oblivious classmate; a delinquent classmate is in love with her. Both struggle to confess their feelings and their antics lead to crazy situations.,Studio Comet,
Kareshi Kanojo No Jijou,TV Series,1998-1999,7.7,1700,"TV series that tells the every-day stories of a group of teenagers in high-school, focusing on their romances and personal problems.","Gainax, Gainax, Gansis",
Janguru taitei,TV Series,1965-1967,6.9,1100,"The adventures of a brave and optimistic little white lion, moral leader for good animals in a jungle surrounded by dangers.","NBC Enterprises, Mushi Productions",
Strike the Blood,TV Series,2013-2022,6.9,1800,"A powerful vampire causes chaos in Japan. Yukina, an apprentice Sword Shaman, encounters Akatsuki Kojou, the Fourth Primeval.","Silver Link, Connect, ASCII Mediaworks",
Dokutaa Suranpu Arale-chan,TV Series,1981-1986,7.8,589,"The wacky adventures of Penguin Village and its residents, primarily the crummy inventor Senbei Norimaki and his robot daughter Arale, a superhuman but naïve girl.","Sunrise, Toei Doga",
Onegai Teacher,TV Series,2002-2002,6.9,1200,"An alien who becomes a teacher, and a student start a relationship and have to keep it all secret.","Bandai Visual Company, Daume, Genco",
Kaiba,TV Mini Series,2008-2008,8.1,1900,"In a futuristic dystopian world where memories are literally stored, bought and sold and rich have all the privileges, a young amnesiac is trying to find out who he is.",Madhouse,
Bakuretsu tenshi,TV Series,2004-2004,6.5,725,"In a chaotic future Tokyo, a young aspiring chef is employed by four beautiful mercenaries.","Gonzo Digimation, TV Asahi, G.D.H.",
Boogiepop Phantom: Boogiepop wa Warawanai,TV Mini Series,2000-2000,7.3,1100,"A light in the sky, followed by a strange aura and grisly murders. Each character tells their own connection to the event and to a similar murder spree 5 years ago. All of the different stor... Read all","Boogiepop Project, Madhouse, Video Audio Project (VAP)",
Yowamushi Pedal,TV Series,2013-2023,7.7,986,"Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and somehow he stumbled into the bicycle... Read all",Toho Company,
Magic Knight Rayearth,TV Series,1994-1995,7.6,1000,"Lucy, Anias and Marina, three girls from different schools are transported to the world of Zephyr as well as their mission to become Magical Warriors to rescue the captured Princess Esmerald... Read all",TMS Entertainment,
Last Exile,TV Series,2003-2003,7.8,3800,"In a world of airships and civil war, two messengers come across a special girl who will change the course of history.","G.D.H., Gonzo, Victor Entertainment",
Space Cobra,TV Series,1982-1983,8.4,862,"In the 24th Century, space pirate Cobra, a womanizing vagabond with a mysterious past and a powerful ""psychogun"" for a hand, fights the galaxy spanning crime syndicate, The Pirate Guild.",TMS Entertainment,
12 kokuki,TV Series,2002-2003,7.9,2200,High school student Youko Nakajima is approached by a strange man who claims he's been searching for her and that she is the rightful ruler of his kingdom.,"NHK Enterprises 21, NHK, Pierrot",
Soredemo Sekai Wa Utsukushii,TV Mini Series,2014-2014,7.3,1000,"In the almighty Sun Kingdom, it never rains. In the Rain Dukedom, select women of the royal family have the ability to call the rain with song. So when the most powerful ruler in the world, ... Read all",,
Bakuman.,TV Series,2010-2013,8,2700,"Mahiro and Takagi team up to pursue their dreams of making it in the manga industry while sharing experiences, successes and failures along the way.","J.C. Staff, NHK Enterprises",
Air Gear,TV Series,2006-2008,7.1,1400,"A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerb... Read all","Air Gear Production Team, Kôdansha, Marvelous Entertainment",
Blade of the Immortal,TV Mini Series,2008-2008,6.7,719,"In medieval Japan, a witch curses a master swordsman with immortality. After many years he grows tired of it and asks her to make him mortal again if he atones for his sins by killing a 1000... Read all","Asano Dojo Fukkokai, Bee Train, Production I.G.",
Danshi Kôkôsei No Nichijô,TV Mini Series,2012-2012,7.8,2900,A sketch comedy about three friends attending an all boys school.,Sunrise,
Yamato nadeshiko shichihenge,TV Series,2006-2007,7.4,1200,"Kyouhei, Ranmaru, Takenaga, and Yukinojou are promised free rent on a large mansion under one condition, to change the landlord's niece into a respectable young lady. However if they fail, s... Read all",Nippon Animation Co.,
Rabu Hina,TV Series,2000-2001,6.9,2300,"Keitaro had a childhood friend. When she had to move away, they promised to meet again at Tokyo University. Years later, Keitaro has failed his entrance exam twice, but he won't give up his ... Read all","Xebec, Kôdansha, Production I.G.",
Aoi Bungaku Series,TV Mini Series,2009-2009,7.5,1300,"The story of a man who struggles with relating to humans. The man feels utterly detached from everything that makes one truly human. A truly harrowing portrait of brokenness, made all the mo... Read all","Madhouse, Nippon Animation Co.",
Nekomonogatari (Kuro),TV Mini Series,2012-2012,7.4,2500,"A kind of prequel to the final 'Bakemonogatari' arc, that revolves around the oddity that possesses Araragi's class rep Hanekawa Tsubasa...","Aniplex, Kôdansha, SHAFT",
Brynhildr in the Darkness,TV Mini Series,2014-2014,6.7,1100,"When he was a child, Murakami was infatuated with a girl he called Kuroneko. She insisted on knowing about aliens and having met them, but no one believed her, even young Murakami was skepti... Read all",Arms,
Infinite Stratos,TV Series,2011-2016,6.5,2100,"A powerful exoskeleton, technologically ages beyond any current such tech, is found, dubbed ""Infinite Stratos"" and multiplied. Only women can use it. One lucky boy discovers he can too and i... Read all","8bit, Media Factory, Project IS",
Mezon Ikkoku,TV Series,1986-1988,8.2,1200,The misadventures of a young student and his landlady's romance.,"Kitty Films, Studio DEEN",
Mondaiji-tachi ga isekai kara kuru sô desu yo?,TV Series,2013-2013,7,1100,"Three teenagers receive mysterious letters that transport them to another world. This world is known as, ""Little Garden"". Here, the inhabitants use their beyond human gifts to compete in gam... Read all",,
"Ima, soko ni iru boku",TV Series,1999-2000,7.9,1900,"A young boy named Shuzo rushes to the defense of a stranger who is being attacked for her magic pendant, only to find himself transported into another world where water is a scarce commodity... Read all","APPP, Anime International Company (AIC), Bihou.",
Eyeshield 21,TV Series,2005-2008,7.5,727,"Kobayakawa Sena is a little guy who always get picked on by the bullies in school. Since elementary school, he always play the role of the 'errand boy' to the extent that he has become swift... Read all","NAS, Shueisha, Studio Gallop",
Mobile Suit Gundam ZZ,TV Series,1986-1987,6.8,711,"Following the decisive battle against the Titans, AEUG's Argama crew (along with a new bunch of kids), has little time to regroup as a new threat looms in the horizon: Haman's Neo Zeon!",Sunrise,
Heppoko jikken animêshon excel saga,TV Series,1999-2001,7.5,1400,Ilpalazzo wants one thing: to rule world so he can better it. Excel just wants to help. Too bad she sucks at her job.,"J.C. Staff, Victor Entertainment",
One Outs,TV Series,2008-2009,8.3,1900,"Hiromichi Kojima, the star batter of the Lycaons, heads to the southern Japanese island of Okinawa to train and find a new pitcher for the team. There, he meets Toa Tokuchi, a 134-kmph pitch... Read all","D.N. Dream Partners, Madhouse, Nippon Television Network (NTV)",
Golgo 13,TV Series,2008-2009,7.4,524,"Duke Togo, a.k.a. Golgo 13, is a highly-skilled assassin hired only by those who pay top-dollar for his services - whether it's the FBI, CIA, industrial corporations or mafias. Regardless of... Read all","Golgo 13 Syndicate, Saitô Productions, Shogakukan Production",
Purinsesu Chuchu,TV Series,2002-2003,8.1,1100,A duck turned girl with magical powers must help save a prince from an unfinished fairy tale.,"Film Makers, Hal Film Maker",
Rittai anime ie naki ko Remi,TV Series,1977-1978,7.9,1200,A compelling story in which orphaned Remi gets hired out to a traveling street entertainer Vitalis when her foster parents fall on hard times.,"Madhouse, TMS Entertainment",
Shikabane hime aka,TV Series,2008-2008,6.9,475,"An undead school girl must hunt down 108 other undeads with the help of specially trained Buddhist monks, in order to gain entry into Heaven.","Feel, Gainax, Shikabane-hime Production Committee",
Mejâ,TV Series,2004-2012,8.1,389,Honda Goro the son of a famous baseball player loves nothing more than baseball itself. His biggest dream is to show his father that he can become the best pitcher in the world despite all t... Read all,"Studio Hibari, Synergy SP, NHK Enterprises",
Usagi Doroppu,TV Series,2011-2012,8.3,3800,A man adopts his six-year-old aunt and raises her as his own kid.,"AOI Promotion, Dentsu, Fuji TV",
Noir,TV Series,2001-2002,7.2,2000,"Two beautiful female assassins travel the world accepting assignments to kill various culprits, and at the same time, having deadly traps set against them by their own employer.","Bee Train, Victor Entertainment",
Dejimon Teimâzu,TV Series,2001-2002,7.6,2300,"An animated series based on the popular children's toy ""Digimon"", in which kids raise electronic monsters to fight against those raised by other kids. The show follows the adventures of a te... Read all","Fuji Television Network, Shueisha, Toei Animation",
Bludgeoning Angel Dokuro-chan,TV Series,2005-2023,6.7,894,A boy is fond of an angel that kills him again and again.,"Hal Film Maker, Mediaworks",
Tokyo Ravens,TV Series,2013-2014,7.3,1400,"Tsuchimikado Harutora was born into the prestigious Onmyoji family, but can't see ""spirit energy"". Therefore, he's been enjoying a peaceful daily life with his friends at the Onmyo branch sc... Read all","8bit, Bushiroad, Fujimishobo",
Sukeban deka,TV Series,1985-1985,8,74,,,
Baka to Test to Shoukanjuu,TV Series,2010-2011,7.2,1500,All the students in a school are distributed according to their individual score in a test into six section and are treated according to their section. The least scoring students then makes ... Read all,"Cospa, Lantis, Media Factory",
.hack//SIGN,TV Series,2002-2003,6.8,1400,"A strange boy named Tsukasa appears in the online video game ""The World"". He claims to be alive, and without a computer.","Bandai Visual Company, Bee Train, Cyber Connect 2",
Suisei no Gargantia,TV Series,2013-2023,7.4,1800,"While fighting an intense inter-galactic war, a mecha pilot was accidentally warped into a space-time neither he nor the computer of his mecha could recognize. After waking up from a long-ti... Read all","Bandai Visual Company, Bang Zoom! Entertainment, Bushiroad",
Kinnikuman,TV Series,1983-1986,7,185,"The lost prince of Planet Kinniku must take his place among his people. There's a few problems: he's lazy, cowardly and unskilled.",,
Kaze No Stigma,TV Series,2007-2007,7.2,1900,"Yagami Kazuma was part of a family of fire users, the Kannagi family. But with no talent in fire magic he was banished and cast out from the family. After four years he returns to Japan as a... Read all",Gonzo,
Black Cat,TV Series,2005-2006,6.9,1200,"Train Heartnet is a famous assassin known as Black Cat. He works for Chronos, an organization that secretly controls the world.",Gonzo,
Buru doragon,TV Series,2007-2008,6.3,407,"Shu and his fellow shadow wielders are determined to seek help at Jibral castle. When they are finally granted an audience with the king, Zola requests permission to view the all-important B... Read all",Pierrot,
Saibôgu 009,TV Series,2001-2002,7.4,528,"Nine super-powered cyborg soldiers join forces to combat Black Ghost, the terrorist organization which they were originally created to serve.","Avex Mode, Hakuhodo, Ishinomori Productions",
Kanon,TV Series,2006-2007,7.5,1600,"As a young child, Aizawa Yuuichi had often visited his cousin in the city; however, something drastic happened to keep him away for seven long years. Now, Yuuichi returns, his memories of th... Read all","Kyoto Animation, Hyakkaya",
Maburaho,TV Series,2003-2004,6.3,287,"His name is Kazuki Shikimori, 17 years old. He attends Aoi Academy, a school for elite magicians. Each magician has a set limit of spells, and performing more spells than the limit allows wi... Read all","Happinet(I)., J.C. Staff, Kadokawa Shoten Publishing Co.",
Nura: Rise of the Yokai Clan,TV Series,2010-2014,7.4,826,"Rikuo Nura appears to be an average middle school student. No one knows that he comes home every day to a house full of youkai, nor that he transforms into the all-powerful leader of these s... Read all",,
When Supernatural Battles Became Commonplace,TV Series,2014-2014,6.5,569,"The story focuses on Senko High School's Literature Club, whose five members; Jurai, Tomoyo, Hatoko, Sayumi, and Chifuyu, have all somehow developed superpowers. The superpowers have now bec... Read all","Trigger, 81 Produce, Aniplex",
Hachimitsu to kurôbâ,TV Series,2005-2006,7.8,1400,"Yuuta Takemoto is a poor college student who lives in a dilapidated apartment building with his two friends, Shinobu Morita and Takumi Mayama. The series chronicles the students' story as th... Read all",J.C. Staff,
B-gata H-kei,TV Mini Series,2010-2010,7.1,1600,"A 15-year-old girl has a goal of bedding 100 boys. The trouble is she's a virgin who knows nothing about dating, relationships, or sex.","Happinet(I)., Shueisha, Dentsu",
PandoraHearts,TV Series,2009-2009,7.1,851,"Oz Vessalius leads a wealthy and privileged life as the heir to the Vessalius estate, but things change when he is drawn into an eternal prison known as Abyss.","FCC, Flying Dog, Media Factory",
Zero No Tsukaima,TV Series,2006-2006,7,2400,"When Saito, an ordinary teen living in Japan, is suddenly whisked away to the magical kingdom of Halkeginia, he becomes the familiar servant of Louise, a young girl enrolled in an academy fo... Read all","Media Factory, Shochiku, Genco",
Speed Grapher,TV Series,2005-2005,7.1,1000,"One man will capture the heart of a woman, and destroy the foundations of society.","Gonzo, Gonzo, TV Asahi",
Keroro gunsô,TV Series,2004-2011,7.7,749,An alien frog plotting the conquest of Earth is forced to work out of a not-so-typical Japanese household.,Sunrise,
Kenpufâ,TV Series,2009-2009,6.1,446,"The plot revolves around Natsuru, a normal high school boy with blue hair. One day he wakes up and found himself turned into a girl. A stuffed tiger ""Harakiri Tora"" comes to life and tells h... Read all","Bowel Familiars, Dax Production, Lantis",
Witch Hunter Robin,TV Series,2002-2003,7.1,2200,"Witches exist, and it is the mysterious organization STNJ's job to hunt them down. Robin is a recent trainee who joins up, and begins unravelling the secrets of both the witches and STNJ...",Sunrise,
Dâti pea,TV Series,1985-1988,7.3,245,"Kei and Yuri - The Dirty Pair aka 'The Lovely Angels' are two teen girls that fight crime throughout the universe and bring the bad guys to justice, but not before wrecking a planet.","Bandai Entertainment Inc., Shochiku, Sunrise",
Mischievous Kiss,TV Series,2008-2008,7.3,1800,A cute girl (Aihara Kotoko) is in love with a smart and handsome guy who's a jerk in high school (Irie Naoki) and when her house is destroyed she moves with her father in to the Irie Family ... Read all,TMS Entertainment,
Sukippu bîto!,TV Series,2008-2009,7.8,1600,"Kyouko went with her childhood friend, Shou to Tokyo to pursue his dream of becoming an idol. Despite she is supporting him, Shou deceive her. Kyouko vows to get her revenge by defeating him... Read all",LME Love Me-bu,
Captain Future,TV Series,1978-1979,7.9,1500,"This series documents the adventures of Curtis Newton, a brilliant scientist, who, under the name ""Captain Future"", chases interstellar criminals together with his crew (a robot, an android,... Read all","Toei Animation, Toei Company, Monte Carlo Productions",
Kuînzu bureido: Gyokuza o tsugu mono,TV Mini Series,2009-2009,6.6,354,The sequel that follows Queen's Blade: The Exiled Virgin (2009). Countless powerful women from around the continent join a tournament called the Queen's Blade tournament to challenge one ano... Read all,"Arms, Genco, Queen's Blade Partners",
Kurage hime,TV Series,2010-2010,7.7,1000,"An insecure young woman, obsessed with jellyfish, lives in a house full of awkward women. Meeting a stylish ""princess"" turns her life upside down.","Asmik Ace Entertainment, Brains Base, Dentsu",
Casshern Sins,TV Series,2008-2009,7,933,"The world is falling apart and Casshern is to blame. He is said to have killed a robot named ""Luna"" and by doing so unleashed a plague referred to as ""ruin"".","Casshern Sins Project, Hakuhodo DY Media Partners, Madhouse",
Seitokai Yakuindomo,TV Series,2010-2020,7.1,705,"Takatoshi Tsuda joins Ousai Academy, a co-ed high school that until recently had been an all-girl school, where he is asked to join the student council as vice-president and a male represent... Read all",,
Aria: The Animation,TV Series,2005-2015,7.2,447,"Akari, Aika, and Alice are three girls who share a single dream: to become the most talented gondoliers in all of Neo-Venezia! Every day they train while exploring all the wondrous sights th... Read all","ARIA Company, Hal Film Maker",
Ga-rei: Zero,TV Series,2008-2023,7.3,771,"Follows two friends, daughters of exorcists, who are now members of the government's secret Supernatural Disaster Countermeasures Division that fights demons when they appear in Japan.","AIC Spirits, Kadokawa Pictures, Kadokawa Shoten Publishing Co.",
Gunslinger Girl,TV Series,2003-2004,7.4,2300,"The Storyline section on the main page contains the phrase ""the country of Europe."" This implies that the Social Welfare Agency is a sort of EU function, but it is part of Italian government... Read all","Marvelous Entertainment, Fuji Television Network, Bandai Visual Company",
Pîchi gâru,TV Series,2005-2005,6.9,482,"Momo, a high school student, is torn between two love interests, each of whom possess great qualities.","Dangun Pictures, Marvelous Entertainment, Mook DLE",
Petto shoppu obu horazu,TV Mini Series,1999-1999,7.3,1200,"Count D, a quite interesting pet shop owner from an area called Chinatown, sells rare and hard to come by pets to people longing for something special, but with each sale comes a contract. I... Read all","Madhouse, Tokyo Broadcasting System (TBS)",
Abenobashi mahô shôtengai,TV Series,2002-2023,7.3,713,"Two kids whose families own businesses in a shopping arcade that's scheduled to shut down are thrown into a series of dimensions, each one a parody of some form of anime or video game, and t... Read all","ADV Films, Gainax, Madhouse",
IGPX: Immortal Grand Prix,TV Series,2005-2006,7.3,291,"In the year 2048, a popular sport called the Immortal Grand Prix (IGPX) showcases teams of humans piloting mechanized fighting suits on an amplified racing track.","Bandai Entertainment, Cartoon Network, Production I.G.",
Chobits,TV Series,2002-2003,7.3,4700,"Hideki finds the discarded and malfunctioning Persocom Chi, a personal computer that looks like a girl. While trying to fix and care for Chi, Hideki discovers that she might be a Chobits, a ... Read all","Clamp, Madhouse, Movic",
Nodame kantâbire,TV Series,2006-2006,8.3,2400,"Two musicians united in talent, divided by nature - the upper-class perfectionist Chiaki and the sloppy middle-classer Nodame - fall in love.",,
Silver Spoon,TV Series,2013-2014,7.9,1400,"In order to escape his stressful city life, Hachiken enrolls in an agricultural school where he must learn a whole new way of life alongside a colorful cast of characters.","A-1 Pictures, Aniplex, Dentsu",
XXXHOLiC,TV Series,2006-2011,7.6,2000,"Kimihiro Watanuki, a high-schooler, is troubled by monsters and spirits, but meets Yuko Ichihara, a beautiful witch, who grants his wish to not be able to see them. However, there is a price... Read all","Ayakashi Kenkyûkai, BMG Japan, Kids Station",
Koi kaze,TV Mini Series,2004-2004,7.4,460,"Koshiro and Nanoka fall deeply in love, then discover they are the children of their divorced estranged parents... making them brother and sister. How will their relationship turn out?","A.C.G.T, Geneon Entertainment, Rondo Robe",
Hokuto no Ken 2,TV Series,1987-1988,8.2,907,"Having disappeared years earlier, Kenshiro returns to help his old friends Lin and Bat confront a string of new threats, including masters of ""Gento Koken"" and ""Hokuto Ryuken"".","Fuji Television Network, Shueisha, Toei Animation",
Dennô koiru,TV Series,2007-2007,7.8,989,"Eleven years after the introduction of internet-connected, augmented reality eyeglasses and visors, Yuuko Okonogi moves with her family to Daikoku City, the technological center of the emerg... Read all","Bandai Visual Company, Madhouse, NHK Enterprises",
Meiken Jolie,TV Series,1981-1982,7.3,966,The adventures of a boy searching for his mother with his only companion being a large Pyrenean mountain dog falsely accused of being dangerous.,"MK Company, Toho Company, Visual 80 Productions",
Kimagure orenji rôdo,TV Series,1985-1988,7.6,917,"Kyousuke Kasuga is a completely normal Japanese high school student, with two very big problems. The first is his complete and utter inability to choose between two girls, the bright, bubbly... Read all","Pierrot, Toho Company",
Gilgamesh,TV Series,2003-2004,6.7,423,"Set in a future where the sky has been changed into a giant mirror, two teenage children are caught in a struggle between a group of super-powered beings and a mysterious woman's team of chi... Read all","Gilgamesh Production Committee, Green, Japan Vistec",
Donten ni warau,TV Series,2014-2015,6.8,290,The story of three brothers who live in a place that is always cloudy because of the curse of a great demon snake that is reborn every 300 years. Tears will be shed and smiles will be shed a... Read all,,
Chrono Crusade,TV Series,2003-2004,7.1,1600,"The Roaring 20's a time of prosperity. Jazz is king, the Mob rules the streets, and Demons are running a mock. Enter Sister Rosette Christopher, of the Order of Magdaline, an elite group out... Read all","Fuji Television Network, Gonzo, Gospel",
Oniisama e...,TV Series,1991-1992,7.6,287,"Nanako and her childhood friend Tomoko enter a special all-girl high school where students are rich upper class. The series is about events that take place during her schooldays, which she c... Read all","Tezuka Productions, NHK",
Haha wo tazunete sanzenri,TV Series,1976-1976,7.3,994,An Italian child goes on a journey to find his mother in Argentina.,Nippon Animation Co.,
Campione!,TV Mini Series,2012-2012,6.8,1500,"Godou Kusanagi becomes a Campione, fighting Heretical Gods. His status attracts attention and complicates life, especially with forward girls like Erica Blandelli causing awkward situations.",,
Blade Dance of the Elementalers,TV Series,2014-2014,6.6,538,In a world where spirits exist and only pure maidens have the privilege of contracting with the spirits maidens from noble families gather at Areishia Spirit Academy where they are trained.,,
Loveless,TV Mini Series,2005-2005,6.8,800,"Twelve year old Aoyagi Ritsuka is left with his insane mother as his only family when his brother, Seimei, is killed suddenly. After moving to a new school, he meets Agatsuma Soubi, who clai... Read all",,
My Bride Is a Mermaid,TV Series,2007-2007,7.2,849,"Nagasumi's in hot water after a beautiful, young mermaid named Sun saves him from drowning. The deep-sea sweetheart's dad is a merman yakuza prone to executing anyone who learns his family's... Read all","Anime International Company (AIC), Avex Mode, Gonzo",
Kidô keisatsu patorebâ,TV Series,1989-1990,7.7,707,The misadventures of a police robot pilot squad and its support crew in a futuristic Tokyo.,"Headgear, Sunrise",
Kôtetsu tenshi Kurumi,TV Series,1999-2000,6.7,194,"During Japan's Taisho Era (1912-1926), a scientist named Ayanokoji developed the Steel Angel-an artificial humanoid with superhuman physical abilities. While the Imperial Army wanted to use ... Read all","M.O.E., Team Wasaki",
Sakigake!! Cromartie Kôkô,TV Series,2003-2004,7.6,888,"A satire comedy of a misfit high school with punks, robots, gorillas and much more.","CPTA, Production I.G.",
Aa Megamisama,TV Series,2005-2005,7.2,1200,"Nice Guy Keiichi is doing his best as a poor student at a tech college, but his good nature is taken advantage of relentlessly.","Anime International Company (AIC), Tokyo Broadcasting System (TBS)",
Blue Seed,TV Series,1994-1995,6.8,323,A young girl must fulfill her destiny as a foretold demon fighter with help from a cursed boy and a special investigations team.,"Ashi Productions Company, Movic, Nihon Ad Systems (NAS)",
Majikku Kaito 1412,TV Series,2014-2015,7.3,526,High school student Kaito loves magic. His father was a genius magician with a secret identity as the Phantom Thief Kid. Unfortunately his father died in an unforeseen accident in a magic ac... Read all,A-1 Pictures,
Kidô Senkan Nadesico,TV Series,1996-1997,7.5,522,Some unknown presence is attacking Earth with dangerous robots and the only thing that can save the day is the crew of the Nadesico: a powerful spaceship.,Xebec,
Magic Kaito,TV Series,2010-2012,7.2,376,"Kaito Kuroba, a normal teenage high school student, stumbles across the secret of his father's death: his father was not only a magician, but the famous phantom thief Kaitou Kid, and was kil... Read all",TMS Entertainment,
Marmalade Boy,TV Series,1994-2005,7.1,510,"Two sets of parents divorce and marry each other, while their children Miki and Yuu are caught in the middle and start falling for each other.",Toei Animation,
Kamisama no inai nichiyôbi,TV Series,2013-2023,6.4,302,"Since 15 years ago, no new lives are born, and no one can die. And then, ""gravekeepers"" appeared in the world, with the ability to give rest to the living dead. Therefore the people said, ""G... Read all",,
Sakura Tsûshin,TV Mini Series,1997-1997,6.3,174,"Urara likes Touma. Touma likes Meiko. Meiko might like Touma, but Meiko will only date a college boy. So what's an under achiever like Touma to do?","Kitty Films, Victor Entertainment",
Working!!,TV Series,2010-2015,7.3,700,"Due to his love for small, cute things, Souta Takanashi cannot turn childlike Popura Taneshima down when she recruits him to work for Wagnaria, a family restaurant located in Hokkaido. Takan... Read all","A-1 Pictures, Aniplex, Working!! Production Team",
Kimi ga nozomu eien,TV Series,2003-2004,7.6,1000,"Follows complicated love life of Takayuki Narumi, a male high school student.","Media Factory, Studio Fantasia",
